subgraph id = 46
Nreal : 79
=================================
Full list of 79 members:

22	23	2	
22	23	4	
22	23	10	
22	23	15	
22	23	17	
22	23	19	
23	25	2	
23	25	4	
23	25	10	
23	25	15	
23	25	17	
23	25	19	
49	50	30	
49	50	31	
49	50	32	
49	50	33	
49	56	33	
49	56	32	
49	58	32	
49	56	30	
49	56	31	
49	58	30	
49	58	31	
56	58	32	
56	58	30	
56	58	31	
4	34	15	
4	34	19	
16	49	32	
16	50	32	
16	50	30	
16	50	31	
16	50	33	
16	49	30	
16	49	31	
16	49	33	
17	50	42	
17	58	42	
33	58	42	
2	33	42	
2	4	15	
2	4	19	
2	4	42	
2	4	49	
2	4	50	
2	4	58	
2	4	62	
4	33	42	
4	34	42	
4	34	62	
15	48	58	
15	16	58	
15	50	58	
16	17	56	
16	50	56	
16	50	58	
16	19	56	
17	33	42	
17	50	56	
17	19	56	
17	19	62	
19	42	56	
19	50	56	
19	52	56	
22	23	32	
22	23	62	
22	23	30	
22	23	31	
22	23	42	
22	23	60	
22	23	63	
23	25	32	
23	25	62	
23	25	30	
23	25	31	
23	25	42	
23	25	60	
23	25	63	
42	53	56	

