subgraph id = 238
Nreal : 91
=================================
Full list of 91 members:

2	4	32	
2	30	32	
2	31	32	
2	32	33	
2	4	33	
2	30	33	
2	31	33	
2	4	30	
2	4	31	
2	30	31	
4	30	32	
4	31	32	
4	32	33	
4	30	33	
4	31	33	
4	30	31	
15	17	32	
15	19	32	
15	30	32	
15	31	32	
15	32	33	
15	16	49	
15	17	49	
15	19	49	
15	49	50	
15	49	56	
15	17	33	
15	19	33	
15	30	33	
15	31	33	
15	16	17	
15	16	19	
15	16	50	
15	17	19	
15	17	30	
15	17	31	
15	17	50	
15	19	50	
15	19	30	
15	19	31	
15	30	31	
16	17	19	
16	17	49	
16	17	50	
16	19	50	
16	49	50	
16	19	49	
17	19	32	
17	30	32	
17	31	32	
17	32	33	
17	19	33	
17	30	33	
17	31	33	
17	33	58	
17	19	49	
17	49	50	
17	49	58	
17	19	50	
17	19	30	
17	19	31	
17	19	58	
17	30	31	
19	30	32	
19	31	32	
19	32	33	
19	32	42	
19	30	33	
19	31	33	
19	33	58	
19	49	50	
19	49	58	
19	30	42	
19	31	42	
19	30	31	
30	31	32	
30	32	33	
30	32	42	
30	32	62	
30	31	33	
30	33	62	
30	31	42	
30	31	62	
31	32	33	
31	32	42	
31	32	62	
31	33	62	
32	33	62	
33	58	62	
49	56	58	
56	58	62	

