Id,SalePrice
1461,118285.40967884491
1462,158982.46744148346
1463,183323.21716202912
1464,198682.60094616795
1465,196154.63195600052
1466,167155.0666593529
1467,173778.0400345534
1468,159516.94823473218
1469,195189.84567383077
1470,120894.81444091912
1471,176744.81489748223
1472,94583.64590020159
1473,96791.77590602326
1474,145556.1789216692
1475,106393.67342115413
1476,358197.1779018806
1477,255643.25541019643
1478,298558.6897024887
1479,299749.34440016287
1480,480810.5725183421
1481,329037.42784022796
1482,214000.54023006174
1483,182031.09943991798
1484,165673.0697287762
1485,197070.2331681113
1486,194686.12302159876
1487,345555.39901639626
1488,240994.21133195562
1489,198711.95978636565
1490,249902.04094676184
1491,195575.58754580497
1492,93022.32957149833
1493,190680.4661280349
1494,290757.49853682076
1495,285355.1195033096
1496,239366.37302994888
1497,181627.83347628504
1498,178768.7099001878
1499,165204.7099992578
1500,158930.67814000367
1501,178117.49286173697
1502,146566.7678602706
1503,298759.65972493024
1504,243423.44918638884
1505,226088.63378310113
1506,192661.6781511357
1507,241384.19952442864
1508,197387.0277070972
1509,157193.41881440257
1510,150523.21616228682
1511,162662.1211738564
1512,180081.41176580611
1513,150230.9074665076
1514,152030.3987166753
1515,182634.06481667937
1516,154327.97993051592
1517,168308.21463947027
1518,131629.61922424796
1519,207203.78423882523
1520,129865.66733972385
1521,133591.8847480149
1522,182883.41477532117
1523,111501.40181851697
1524,125804.0314052941
1525,119843.77211463398
1526,109816.5316894721
1527,109578.82676009461
1528,131785.501261781
1529,153322.07050744872
1530,183269.67162295055
1531,107885.1139862449
1532,99455.19825712517
1533,149010.22546989162
1534,121983.4668150682
1535,140672.6025841916
1536,107435.75561152546
1537,51738.72731348811
1538,146904.45711287356
1539,195372.82091506795
1540,98472.60890009471
1541,141654.12009906044
1542,140503.39249811924
1543,171293.6071878008
1544,87489.03038970298
1545,118280.22374588774
1546,139782.44419052004
1547,130555.16626403056
1548,140317.82037452146
1549,123296.52978260386
1550,144236.84945675748
1551,112365.5488680365
1552,145033.17054290895
1553,149442.43748401257
1554,114645.17634951095
1555,166865.9769614914
1556,83627.34223796696
1557,113138.11145321536
1558,108306.34326090115
1559,72785.25797504972
1560,131560.87594260642
1561,124734.65246265416
1562,130698.25047634296
1563,119309.58135294115
1564,160713.10318751345
1565,157191.78439170166
1566,237904.3836637804
1567,79383.83191178027
1568,248704.06888586315
1569,122050.26537991656
1570,142792.97010685268
1571,111632.64523142896
1572,143448.3051198946
1573,235580.58304349706
1574,120513.74151840019
1575,257044.66179502133
1576,249902.55429539917
1577,183968.98926360306
1578,154741.264812591
1579,154079.09082784702
1580,196395.68242989964
1581,152706.18195782538
1582,123220.0357524799
1583,287711.0109151411
1584,221341.42743920974
1585,138377.64728347157
1586,65143.27974689342
1587,112260.87078048162
1588,152834.28726295906
1589,97650.44828181405
1590,129854.07865315549
1591,97576.82070431676
1592,116369.94300237537
1593,135435.14257594862
1594,129581.3322560442
1595,112258.83923669472
1596,209694.74699354637
1597,201935.58005008756
1598,225386.55679184003
1599,175361.18259081044
1600,168514.6786828095
1601,58753.93669007263
1602,117427.27171991402
1603,80146.91999503148
1604,261387.81835113798
1605,242454.96626018357
1606,165985.23988579004
1607,173518.90686855282
1608,222356.48812280077
1609,180215.9336809234
1610,141587.21811351046
1611,132800.3919119184
1612,171571.8060343548
1613,164192.9847490876
1614,127924.55164417558
1615,94242.63351778373
1616,81942.10182948675
1617,93962.25915819602
1618,125713.49497053778
1619,136614.320819842
1620,139075.8495863261
1621,131087.73828080925
1622,140523.74214712277
1623,264837.61382721335
1624,212403.4267257292
1625,121300.6207525881
1626,177429.28636286105
1627,196110.55639196365
1628,285124.28086304263
1629,181746.0379914563
1630,343452.67119784944
1631,226814.11268239087
1632,251343.35374138673
1633,180204.24392232328
1634,188906.4066437686
1635,175145.52543704663
1636,152016.50759480702
1637,196425.26253664866
1638,174927.91545285372
1639,185664.55811131676
1640,245784.30414300822
1641,180589.65612716626
1642,254842.31297534629
1643,216195.6964278371
1644,238757.70346113664
1645,195371.1356747292
1646,167315.5125442646
1647,163931.22904522097
1648,126766.72800198197
1649,140806.72528000624
1650,114044.58497036884
1651,114356.11433012993
1652,97072.19111094835
1653,101517.61647743586
1654,146274.1230647918
1655,133041.8626348894
1656,139975.60581744803
1657,151304.33169146537
1658,151588.793920496
1659,115684.94822992496
1660,156439.08762833668
1661,385528.32636020257
1662,403033.08140531235
1663,373191.6167280305
1664,444519.6313809864
1665,306057.7344354079
1666,330108.0646703699
1667,354784.7841989755
1668,349887.6518077789
1669,320513.190648087
1670,347327.80249812687
1671,269865.6957887909
1672,408908.85692881024
1673,288306.4185620258
1674,239243.45951301837
1675,203499.5068139088
1676,196786.4091347656
1677,223223.8120478911
1678,449330.1149898366
1679,403347.8871736676
1680,322672.7288100265
1681,247013.1462989486
1682,323334.4168256495
1683,189366.71460142994
1684,177689.94666019536
1685,176647.49651703035
1686,171939.51419596997
1687,176225.64298471675
1688,189388.30654948496
1689,194155.27772816297
1690,198618.93652661378
1691,189941.36832338953
1692,265571.1654379054
1693,175013.65977477224
1694,182737.89578932992
